1:Date;Temperature_Comedor_Sensor;Temperature_Habitacion_Sensor;Weather_Temperature;CO2_Comedor_Sensor;CO2_Habitacion_Sensor;Humedad_Comedor_Sensor;Humedad_Habitacion_Sensor;Lighting_Comedor_Sensor;Lighting_Habitacion_Sensor;Precipitacion;Meteo_Exterior_Crepusculo;Meteo_Exterior_Viento;Meteo_Exterior_Sol_Oest;Meteo_Exterior_Sol_Est;Meteo_Exterior_Sol_Sud;Meteo_Exterior_Piranometro;Temperature_Exterior_Sensor;Humedad_Exterior_Sensor;Day_Of_Week;Temperature_Exterior_Sensor_1;Temperature_Exterior_Sensor_2;Temperature_Exterior_Sensor_3;Temperature_Exterior_Sensor_4;Temperature_Exterior_Sensor_5;Temperature_Exterior_Sensor_6;Temperature_Exterior_Sensor_7;Temperature_Exterior_Sensor_8;Temperature_Exterior_Sensor_9;Temperature_Exterior_Sensor_10;Temperature_Exterior_Sensor_11;Temperature_Exterior_Sensor_12;Temperature_Exterior_Sensor_13;Temperature_Exterior_Sensor_14;Temperature_Exterior_Sensor_15;Temperature_Exterior_Sensor_16;Temperature_Exterior_Sensor_17;Temperature_Exterior_Sensor_18;Temperature_Exterior_Sensor_19;Temperature_Exterior_Sensor_20;Temperature_Exterior_Sensor_21;Temperature_Exterior_Sensor_22;Temperature_Exterior_Sensor_23;Temperature_Exterior_Sensor_24;Temperature_Exterior_Sensor_25;Temperature_Exterior_Sensor_26;Temperature_Habitacion_Sensor_1;Temperature_Habitacion_Sensor_2;Temperature_Habitacion_Sensor_3;Temperature_Habitacion_Sensor_4;Temperature_Habitacion_Sensor_5;Temperature_Habitacion_Sensor_6;Temperature_Habitacion_Sensor_7;Temperature_Habitacion_Sensor_8;Temperature_Habitacion_Sensor_9;Temperature_Habitacion_Sensor_10;Temperature_Habitacion_Sensor_11;Temperature_Habitacion_Sensor_12;Temperature_Habitacion_Sensor_13;Temperature_Habitacion_Sensor_14;Temperature_Habitacion_Sensor_15;Temperature_Habitacion_Sensor_16;Temperature_Habitacion_Sensor_17;Temperature_Habitacion_Sensor_18;Temperature_Habitacion_Sensor_19;Temperature_Habitacion_Sensor_20;Temperature_Habitacion_Sensor_21;Temperature_Habitacion_Sensor_22;Temperature_Habitacion_Sensor_23;Temperature_Habitacion_Sensor_24;Temperature_Habitacion_Sensor_25;Temperature_Habitacion_Sensor_26;Weather_Temperature_1;Weather_Temperature_2;Weather_Temperature_3;Weather_Temperature_4;Weather_Temperature_5;Weather_Temperature_6;Weather_Temperature_7;Weather_Temperature_8;Weather_Temperature_9;Weather_Temperature_10;Weather_Temperature_11;Weather_Temperature_12;Weather_Temperature_13;Weather_Temperature_14;Weather_Temperature_15;Weather_Temperature_16;Weather_Temperature_17;Weather_Temperature_18;Weather_Temperature_19;Weather_Temperature_20;Weather_Temperature_21;Weather_Temperature_22;Weather_Temperature_23;Weather_Temperature_24;Weather_Temperature_25;Weather_Temperature_26;Meteo_Exterior_Piranometro_1;Meteo_Exterior_Piranometro_2;Meteo_Exterior_Piranometro_3;Meteo_Exterior_Piranometro_4;Meteo_Exterior_Piranometro_5;Meteo_Exterior_Piranometro_6;Meteo_Exterior_Piranometro_7;Meteo_Exterior_Piranometro_8;Meteo_Exterior_Piranometro_9;Meteo_Exterior_Piranometro_10;Meteo_Exterior_Piranometro_11;Meteo_Exterior_Piranometro_12;Meteo_Exterior_Piranometro_13;Meteo_Exterior_Piranometro_14;Meteo_Exterior_Piranometro_15;Meteo_Exterior_Piranometro_16;Meteo_Exterior_Piranometro_17;Meteo_Exterior_Piranometro_18;Meteo_Exterior_Piranometro_19;Meteo_Exterior_Piranometro_20;Meteo_Exterior_Piranometro_21;Meteo_Exterior_Piranometro_22;Meteo_Exterior_Piranometro_23;Meteo_Exterior_Piranometro_24;Meteo_Exterior_Piranometro_25;Meteo_Exterior_Piranometro_26;Lighting_Habitacion_Sensor_1;Lighting_Habitacion_Sensor_2;Lighting_Habitacion_Sensor_3;Lighting_Habitacion_Sensor_4;Lighting_Habitacion_Sensor_5;Lighting_Habitacion_Sensor_6;Lighting_Habitacion_Sensor_7;Lighting_Habitacion_Sensor_8;Lighting_Habitacion_Sensor_9;Lighting_Habitacion_Sensor_10;Lighting_Habitacion_Sensor_11;Lighting_Habitacion_Sensor_12;Lighting_Habitacion_Sensor_13;Lighting_Habitacion_Sensor_14;Lighting_Habitacion_Sensor_15;Lighting_Habitacion_Sensor_16;Lighting_Habitacion_Sensor_17;Lighting_Habitacion_Sensor_18;Lighting_Habitacion_Sensor_19;Lighting_Habitacion_Sensor_20;Lighting_Habitacion_Sensor_21;Lighting_Habitacion_Sensor_22;Lighting_Habitacion_Sensor_23;Lighting_Habitacion_Sensor_24;Lighting_Habitacion_Sensor_25;Lighting_Habitacion_Sensor_26;Meteo_Exterior_Sol_Sud_1;Meteo_Exterior_Sol_Sud_2;Meteo_Exterior_Sol_Sud_3;Meteo_Exterior_Sol_Sud_4;Meteo_Exterior_Sol_Sud_5;Meteo_Exterior_Sol_Sud_6;Meteo_Exterior_Sol_Sud_7;Meteo_Exterior_Sol_Sud_8;Meteo_Exterior_Sol_Sud_9;Meteo_Exterior_Sol_Sud_10;Meteo_Exterior_Sol_Sud_11;Meteo_Exterior_Sol_Sud_12;Meteo_Exterior_Sol_Sud_13;Meteo_Exterior_Sol_Sud_14;Meteo_Exterior_Sol_Sud_15;Meteo_Exterior_Sol_Sud_16;Meteo_Exterior_Sol_Sud_17;Meteo_Exterior_Sol_Sud_18;Meteo_Exterior_Sol_Sud_19;Meteo_Exterior_Sol_Sud_20;Meteo_Exterior_Sol_Sud_21;Meteo_Exterior_Sol_Sud_22;Meteo_Exterior_Sol_Sud_23;Meteo_Exterior_Sol_Sud_24;Meteo_Exterior_Sol_Sud_25;Meteo_Exterior_Sol_Sud_26;Meteo_Exterior_Crepusculo_1;Meteo_Exterior_Crepusculo_2;Meteo_Exterior_Crepusculo_3;Meteo_Exterior_Crepusculo_4;Meteo_Exterior_Crepusculo_5;Meteo_Exterior_Crepusculo_6;Meteo_Exterior_Crepusculo_7;Meteo_Exterior_Crepusculo_8;Meteo_Exterior_Crepusculo_9;Meteo_Exterior_Crepusculo_10;Meteo_Exterior_Crepusculo_11;Meteo_Exterior_Crepusculo_12;Meteo_Exterior_Crepusculo_13;Meteo_Exterior_Crepusculo_14;Meteo_Exterior_Crepusculo_15;Meteo_Exterior_Crepusculo_16;Meteo_Exterior_Crepusculo_17;Meteo_Exterior_Crepusculo_18;Meteo_Exterior_Crepusculo_19;Meteo_Exterior_Crepusculo_20;Meteo_Exterior_Crepusculo_21;Meteo_Exterior_Crepusculo_22;Meteo_Exterior_Crepusculo_23;Meteo_Exterior_Crepusculo_24;Meteo_Exterior_Crepusculo_25;Meteo_Exterior_Crepusculo_26
2012-03-13 11:45:00;18.1875;17.8275;0.0;216.56;221.92;39.9125;42.415;81.665;113.52;0.0;623.36;1.42625;9690.24;12604.2;95436.8;758.88;18.115;48.375;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-03-13 12:00:00;18.4633;18.1207;6.8;219.947;220.363;39.9267;42.2453;81.7413;113.605;0.0;623.211;1.592;11022.0;10787.2;95436.8;762.069;18.4147;47.808;2.0;18.115;;;;;;;;;;;;;;;;;;;;;;;;;;17.8275;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;758.88;;;;;;;;;;;;;;;;;;;;;;;;;;113.52;;;;;;;;;;;;;;;;;;;;;;;;;;95436.8;;;;;;;;;;;;;;;;;;;;;;;;;;623.36;;;;;;;;;;;;;;;;;;;;;;;;;
2012-03-13 12:15:00;18.7673;18.4367;17.0;219.403;218.933;39.772;42.2267;81.424;113.6;0.0;622.656;1.89133;13960.5;9669.63;95398.6;766.251;18.8533;47.432;2.0;18.4147;18.115;;;;;;;;;;;;;;;;;;;;;;;;;18.1207;17.8275;;;;;;;;;;;;;;;;;;;;;;;;;6.8;0.0;;;;;;;;;;;;;;;;;;;;;;;;;762.069;758.88;;;;;;;;;;;;;;;;;;;;;;;;;113.605;113.52;;;;;;;;;;;;;;;;;;;;;;;;;95436.8;95436.8;;;;;;;;;;;;;;;;;;;;;;;;;623.211;623.36;;;;;;;;;;;;;;;;;;;;;;;;
2012-03-13 12:30:00;19.0727;18.7513;18.0;218.613;217.045;39.776;42.0987;81.5013;113.344;0.0;622.571;1.828;18511.2;9648.13;95360.3;766.037;19.2907;47.024;2.0;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;;;;;;;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;;;;;;;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;;;;;;;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;;;;;;;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;;;;;;;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;;;;;;;622.656;623.211;623.36;;;;;;;;;;;;;;;;;;;;;;;
2012-03-13 12:45:00;19.3721;19.0414;20.0;217.714;216.08;39.7757;42.0686;81.4657;113.034;0.0;622.4;2.36071;26349.0;9208.32;95354.9;762.743;19.74;45.4743;2.0;19.2907;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;;;;;;18.7513;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;;;;;;18.0;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;;;;;;766.037;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;;;;;;113.344;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;;;;;;95360.3;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;;;;;;622.571;622.656;623.211;623.36;;;;;;;;;;;;;;;;;;;;;;
2012-03-13 13:00:00;19.6407;19.2773;20.0;218.389;216.011;39.8107;42.0347;81.2427;113.6;0.0;622.4;2.06333;36511.7;8694.78;95354.9;752.683;20.166;45.5467;2.0;19.74;19.2907;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;;;;;19.0414;18.7513;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;;;;;20.0;18.0;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;;;;;762.743;766.037;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;;;;;113.034;113.344;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;;;;;95354.9;95360.3;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;;;;;622.4;622.571;622.656;623.211;623.36;;;;;;;;;;;;;;;;;;;;;
2012-03-13 13:15:00;19.912;19.5367;20.0;218.155;215.829;39.8613;41.9947;81.36;112.981;0.0;622.4;2.23067;49288.5;8501.25;95354.9;740.949;20.566;44.968;2.0;20.166;19.74;19.2907;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;;;;19.2773;19.0414;18.7513;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;;;;20.0;20.0;18.0;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;;;;752.683;762.743;766.037;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;;;;113.6;113.034;113.344;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;;;;95354.9;95354.9;95360.3;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;;;;622.4;622.4;622.571;622.656;623.211;623.36;;;;;;;;;;;;;;;;;;;;
2012-03-13 13:30:00;20.164;19.7307;20.0;216.661;215.296;39.824;41.9947;81.024;111.259;0.0;621.803;1.924;62253.7;8687.62;95174.7;721.109;20.8427;45.1813;2.0;20.566;20.166;19.74;19.2907;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;;;19.5367;19.2773;19.0414;18.7513;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;;;20.0;20.0;20.0;18.0;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;;;740.949;752.683;762.743;766.037;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;;;112.981;113.6;113.034;113.344;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;;;95354.9;95354.9;95354.9;95360.3;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;;;622.4;622.4;622.4;622.571;622.656;623.211;623.36;;;;;;;;;;;;;;;;;;;
2012-03-13 13:45:00;20.412;19.9693;20.0;217.461;214.549;39.9587;42.1253;81.104;83.3547;0.0;620.651;2.51067;71453.4;8888.32;91848.7;699.392;21.204;45.416;2.0;20.8427;20.566;20.166;19.74;19.2907;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;;19.7307;19.5367;19.2773;19.0414;18.7513;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;;20.0;20.0;20.0;20.0;18.0;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;;721.109;740.949;752.683;762.743;766.037;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;;111.259;112.981;113.6;113.034;113.344;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;;95174.7;95354.9;95354.9;95354.9;95360.3;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;;621.803;622.4;622.4;622.4;622.571;622.656;623.211;623.36;;;;;;;;;;;;;;;;;;
2012-03-13 14:00:00;20.64;20.1407;20.0;215.349;213.909;39.94;42.0427;81.1813;83.36;0.0;620.309;2.65333;80076.8;9046.02;87217.5;677.675;21.5227;45.0213;2.0;21.204;20.8427;20.566;20.166;19.74;19.2907;18.8533;18.4147;18.115;;;;;;;;;;;;;;;;;;19.9693;19.7307;19.5367;19.2773;19.0414;18.7513;18.4367;18.1207;17.8275;;;;;;;;;;;;;;;;;;20.0;20.0;20.0;20.0;20.0;18.0;17.0;6.8;0.0;;;;;;;;;;;;;;;;;;699.392;721.109;740.949;752.683;762.743;766.037;766.251;762.069;758.88;;;;;;;;;;;;;;;;;;83.3547;111.259;112.981;113.6;113.034;113.344;113.6;113.605;113.52;;;;;;;;;;;;;;;;;;91848.7;95174.7;95354.9;95354.9;95354.9;95360.3;95398.6;95436.8;95436.8;;;;;;;;;;;;;;;;;;620.651;621.803;622.4;622.4;622.4;622.571;622.656;623.211;623.36;;;;;;;;;;;;;;;;;
